,id,candidate
21,2464694,"{'candidates': [[[18, 3, 12], [0, 2, 3, 5, 8, 10, 11, 13, 14, 15, 16, 17]]]}"
22,2464695,"{'candidates': [[[18, 4, 13], [0, 2, 3, 8, 10, 11, 13, 14, 15, 16, 17]]]}"
23,2464696,"{'candidates': [[[18, 5, 14], [0, 2, 3, 8, 10, 11, 13, 14, 15, 16, 17]]]}"
24,2464697,"{'candidates': [[[18, 6, 15], [0, 2, 3, 7, 8, 10, 11, 13, 15, 16, 17]]]}"
25,2464582,"{'candidates': [[[0, 0, 9], [3, 8, 10, 11]]]}"
26,2464583,"{'candidates': [[[0, 1, 10], [3, 8, 10, 11]]]}"
27,2464584,"{'candidates': [[[0, 2, 11], [3, 8, 10, 11]]]}"
28,2464585,"{'candidates': [[[0, 3, 12], [3, 8, 10, 11, 18]]]}"
29,2464586,"{'candidates': [[[0, 4, 13], [3, 8, 10, 11, 18]]]}"
30,2464587,"{'candidates': [[[0, 5, 14], [3, 8, 10, 11, 18]]]}"
31,2464588,"{'candidates': [[[1, 1, 10], [3, 9, 12, 15, 16]]]}"
32,2464589,"{'candidates': [[[1, 2, 11], [3, 4, 8, 12, 15, 16]]]}"
33,2464590,"{'candidates': [[[1, 3, 12], [3, 4, 5, 6, 7, 8, 9, 12, 13, 15, 16]]]}"
34,2464591,"{'candidates': [[[1, 4, 13], [3, 4, 5, 6, 7, 8, 9, 12, 13, 15, 16]]]}"
35,2464592,"{'candidates': [[[1, 5, 14], [3, 4, 5, 6, 7, 8, 9, 12, 13, 16, 17]]]}"
36,2464593,"{'candidates': [[[1, 6, 15], [3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 16]]]}"
37,2464594,"{'candidates': [[[1, 7, 16], [3, 4, 5, 6, 7, 8, 9, 12, 13, 14, 16]]]}"
38,2464595,"{'candidates': [[[1, 8, 17], [3, 4, 5, 6, 7, 9, 12, 13, 14, 16]]]}"
39,2464596,"{'candidates': [[[1, 9, 18], [3, 4, 5, 6, 7, 9, 12, 13, 14, 16]]]}"
40,2464597,"{'candidates': [[[1, 10, 19], [4, 5, 6, 7, 9, 12, 14, 16]]]}"
41,2464598,"{'candidates': [[[1, 11, 20], [4, 5, 6, 7, 9, 12, 14, 16, 17]]]}"
42,2464599,"{'candidates': [[[1, 12, 21], [4, 5, 6, 7, 9, 12, 14, 16, 17]]]}"
43,2464600,"{'candidates': [[[2, 2, 11], [8, 14, 17, 18]]]}"
44,2464601,"{'candidates': [[[2, 3, 12], [8, 11, 14, 17, 18]]]}"
45,2464602,"{'candidates': [[[2, 4, 13], [8, 11, 14, 17, 18]]]}"
46,2464603,"{'candidates': [[[2, 5, 14], [8, 11, 14, 17, 18]]]}"
47,2464604,"{'candidates': [[[2, 6, 15], [0, 7, 8, 11, 14, 17, 18]]]}"
48,2464605,"{'candidates': [[[4, 0, 9], [1, 6, 13, 16]]]}"
49,2464606,"{'candidates': [[[4, 1, 10], [1, 3, 6, 9, 12, 13, 14, 15, 16]], [[4, 1, 11], [6, 9, 12, 14]], [[4, 1, 12], [6, 9, 12, 14]]]}"
50,2464607,"{'candidates': [[[4, 2, 11], [1, 3, 6, 9, 12, 13, 14, 15, 16]], [[4, 2, 12], [6, 9, 12, 14]]]}"
51,2464608,"{'candidates': [[[4, 3, 12], [1, 3, 6, 8, 9, 12, 13, 14, 15, 16]], [[4, 3, 13], [6, 9, 12, 14]]]}"
52,2464609,"{'candidates': [[[4, 4, 13], [1, 3, 6, 8, 9, 12, 13, 14, 15, 16]]]}"
53,2464610,"{'candidates': [[[4, 5, 14], [1, 3, 6, 8, 9, 12, 13, 14, 16]], [[4, 5, 15], [1, 6, 9, 12]]]}"
54,2464611,"{'candidates': [[[4, 6, 15], [1, 3, 5, 6, 8, 9, 12, 13, 14, 16]], [[4, 6, 16], [1, 5, 6, 9, 12]], [[4, 6, 17], [1, 5, 6, 9, 12]], [[4, 6, 18], [5, 6, 9, 12]]]}"
55,2464612,"{'candidates': [[[4, 7, 16], [1, 3, 5, 6, 7, 8, 9, 12, 13, 14, 16]], [[4, 7, 17], [1, 5, 6, 9, 12]], [[4, 7, 18], [5, 6, 9, 12]], [[4, 7, 19], [5, 6, 9, 12]]]}"
56,2464613,"{'candidates': [[[4, 8, 17], [1, 3, 5, 6, 8, 9, 12, 13, 14, 16]], [[4, 8, 18], [1, 5, 6, 9, 12, 16]], [[4, 8, 19], [5, 6, 9, 12]]]}"
57,2464614,"{'candidates': [[[4, 9, 18], [1, 3, 5, 6, 8, 9, 12, 13, 16]], [[4, 9, 19], [6, 9, 12, 16]], [[4, 9, 20], [6, 9, 12, 16]], [[4, 9, 21], [6, 9, 12, 16]]]}"
58,2464615,"{'candidates': [[[4, 10, 19], [1, 3, 6, 8, 9, 12, 13, 16]]]}"
59,2464616,"{'candidates': [[[4, 11, 20], [1, 3, 6, 8, 9, 12, 13, 16]]]}"
60,2464617,"{'candidates': [[[4, 12, 21], [1, 3, 6, 8, 9, 12]]]}"
61,2464618,"{'candidates': [[[4, 13, 22], [1, 3, 8, 9, 12]]]}"
62,2464619,"{'candidates': [[[5, 3, 12], [1, 3, 6, 9, 12]], [[5, 3, 13], [1, 6, 9, 12]], [[5, 3, 14], [1, 6, 9, 12]]]}"
63,2464620,"{'candidates': [[[5, 4, 13], [1, 3, 6, 9, 12]], [[5, 4, 14], [1, 6, 9, 12]], [[5, 4, 15], [1, 6, 9, 12]]]}"
64,2464621,"{'candidates': [[[5, 5, 14], [1, 3, 4, 6, 9, 12]], [[5, 5, 15], [1, 4, 6, 9, 12]], [[5, 5, 16], [1, 4, 6, 9, 12]], [[5, 5, 17], [1, 4, 6, 9]]]}"
65,2464622,"{'candidates': [[[5, 6, 15], [1, 3, 4, 6, 9, 12, 16]], [[5, 6, 16], [1, 4, 6, 9, 12]], [[5, 6, 17], [1, 4, 6, 9, 12]]]}"
66,2464623,"{'candidates': [[[5, 7, 16], [1, 3, 4, 6, 9, 12, 14, 16]], [[5, 7, 17], [1, 4, 6, 9, 12]]]}"
67,2464624,"{'candidates': [[[5, 8, 17], [1, 3, 4, 6, 9, 12, 13, 14, 16]]]}"
68,2464625,"{'candidates': [[[6, 1, 10], [1, 3, 4, 9, 12, 13, 16]]]}"
69,2464626,"{'candidates': [[[6, 2, 11], [1, 3, 4, 9, 12, 13, 15, 16]]]}"
70,2464627,"{'candidates': [[[6, 3, 12], [1, 3, 9, 12, 13, 14, 15, 16]]]}"
71,2464628,"{'candidates': [[[6, 4, 13], [1, 3, 4, 8, 9, 12, 13, 14, 15, 16]]]}"
72,2464629,"{'candidates': [[[6, 5, 14], [0, 1, 3, 4, 8, 9, 12, 13, 14, 15, 16]]]}"
73,2464630,"{'candidates': [[[6, 6, 15], [0, 1, 3, 4, 5, 8, 9, 12, 13, 14, 15, 16]], [[6, 6, 16], [4, 5, 9, 12]]]}"
74,2464631,"{'candidates': [[[6, 7, 16], [0, 1, 3, 4, 5, 8, 9, 12, 13, 14, 15, 16]]]}"
75,2464632,"{'candidates': [[[6, 8, 17], [0, 1, 4, 8, 9, 12, 13, 14, 15, 16]]]}"
76,2464633,"{'candidates': [[[6, 9, 18], [1, 4, 8, 9, 12, 13, 14, 15, 16]]]}"
77,2464634,"{'candidates': [[[6, 10, 19], [1, 4, 8, 9, 13, 14, 15]]]}"
78,2464635,"{'candidates': [[[6, 11, 20], [1, 4, 8, 9, 13, 15]]]}"
79,2464636,"{'candidates': [[[7, 9, 18], [1, 8, 11, 14, 17]]]}"
80,2464637,"{'candidates': [[[7, 10, 19], [1, 8, 11, 14, 17]]]}"
81,2464638,"{'candidates': [[[7, 11, 20], [1, 8, 14, 16, 17]]]}"
82,2464639,"{'candidates': [[[8, 8, 17], [0, 2, 10, 11, 17, 18]], [[8, 8, 18], [0, 2, 11, 17, 18]]]}"
83,2464640,"{'candidates': [[[8, 9, 18], [0, 2, 10, 11, 17, 18]]]}"
84,2464641,"{'candidates': [[[9, 0, 9], [3, 7, 8, 10, 12, 14, 15]]]}"
85,2464642,"{'candidates': [[[9, 1, 10], [3, 7, 8, 10, 12, 14, 15]]]}"
86,2464643,"{'candidates': [[[9, 2, 11], [3, 7, 8, 10, 12, 14, 15]]]}"
87,2464644,"{'candidates': [[[9, 3, 12], [3, 7, 8, 10, 12, 14, 15]]]}"
88,2464645,"{'candidates': [[[9, 4, 13], [3, 7, 8, 10, 12, 14, 15]]]}"
89,2464646,"{'candidates': [[[9, 5, 14], [3, 7, 8, 10, 12, 14, 15]]]}"
90,2464647,"{'candidates': [[[9, 6, 15], [3, 4, 7, 8, 10, 11, 12, 14, 15, 16, 17]]]}"
91,2464648,"{'candidates': [[[9, 7, 16], [3, 4, 7, 8, 10, 12, 15, 17]]]}"
92,2464649,"{'candidates': [[[9, 8, 17], [3, 7, 8, 12, 17]]]}"
93,2464650,"{'candidates': [[[10, 0, 9], [0, 2, 7, 8, 11, 14, 17, 18]]]}"
94,2464651,"{'candidates': [[[10, 1, 10], [0, 2, 7, 8, 11, 14, 17, 18]]]}"
95,2464652,"{'candidates': [[[10, 2, 11], [0, 2, 7, 8, 11, 14, 17, 18]]]}"
96,2464653,"{'candidates': [[[10, 3, 12], [0, 2, 7, 8, 11, 17, 18]]]}"
97,2464654,"{'candidates': [[[10, 4, 13], [0, 2, 3, 7, 8, 11, 17, 18]]]}"
98,2464655,"{'candidates': [[[10, 5, 14], [0, 2, 3, 7, 8, 11, 17, 18]], [[10, 5, 15], [2, 3, 11, 17, 18]], [[10, 5, 16], [2, 3, 11, 17, 18]]]}"
99,2464656,"{'candidates': [[[10, 6, 15], [0, 2, 3, 7, 8, 11, 17, 18]], [[10, 6, 16], [2, 3, 11, 17, 18]], [[10, 6, 17], [2, 3, 11, 17, 18]]]}"
100,2464657,"{'candidates': [[[10, 7, 16], [0, 2, 7, 8, 11, 14, 17, 18]], [[10, 7, 17], [2, 8, 11, 17, 18]]]}"
101,2464658,"{'candidates': [[[10, 8, 17], [0, 2, 8, 11, 14, 17, 18]], [[10, 8, 18], [0, 2, 8, 11, 18]]]}"
102,2464659,"{'candidates': [[[10, 9, 18], [0, 5, 8, 11, 14, 17, 18]]]}"
103,2464660,"{'candidates': [[[10, 10, 19], [0, 3, 8, 11, 17, 18]]]}"
104,2464661,"{'candidates': [[[11, 8, 17], [0, 3, 8, 10, 17, 18]]]}"
105,2464662,"{'candidates': [[[11, 9, 18], [0, 2, 8, 10, 17, 18]]]}"
106,2464663,"{'candidates': [[[11, 10, 19], [0, 2, 7, 8, 10, 17, 18]]]}"
107,2464664,"{'candidates': [[[12, 0, 9], [1, 3, 4, 5, 6, 8, 9, 13, 14, 15, 16]]]}"
108,2464665,"{'candidates': [[[12, 1, 10], [1, 3, 4, 5, 6, 8, 9, 13, 14, 15, 16]]]}"
109,2464666,"{'candidates': [[[12, 2, 11], [1, 3, 4, 5, 6, 8, 9, 13, 14, 15, 16]]]}"
110,2464667,"{'candidates': [[[12, 3, 12], [1, 3, 4, 5, 6, 8, 9, 13, 14, 15, 16]]]}"
111,2464668,"{'candidates': [[[12, 4, 13], [1, 3, 4, 5, 6, 7, 8, 9, 13, 14, 16]]]}"
112,2464669,"{'candidates': [[[12, 5, 14], [1, 4, 5, 6, 7, 8, 9, 14, 16]]]}"
113,2464670,"{'candidates': [[[12, 6, 15], [1, 4, 5, 6, 7, 8, 9, 14, 16]]]}"
114,2464671,"{'candidates': [[[12, 7, 16], [1, 4, 5, 6, 7, 9, 14, 16]]]}"
115,2464672,"{'candidates': [[[12, 8, 17], [1, 4, 5, 6, 7, 9, 14, 16]]]}"
